id;name;email;gender;type_user;date_birty;platform
1;"Rafael Ávila";rafael.rafael@outlook.com;male;Casual;2012-08-18;PC
2;"Igor Zamana";igor.igor@yahoo.com.br;male;Casual;2001-01-05;CONSOLE
3;"Dayana Faro";faro.dayana@uol.com.br;female;Casual;1998-12-23;MOBILE
4;"Clarice Lozano";lozano-1981@icloud.com;female;Profissional;1992-07-27;MOBILE
5;"Dayana Soares";dayanasoaresdayana@uol.com.br;female;Profissional;2005-11-21;CONSOLE
6;"Manuela Esteves";esteves_22@icloud.com;female;Profissional;1993-05-13;CONSOLE
7;"Alessandra Zamana";zamanazamana1982@yahoo.com.br;female;Profissional;1999-11-19;CONSOLE
8;"Luiza Padrão";luiza.luiza@gmail.com;female;Profissional;2002-05-10;MOBILE
9;"Gabriela Deverso";deverso-deverso@outlook.com;female;Profissional;2008-07-01;PC
10;"Juan Flores";flores20058@icloud.com;male;Profissional;2001-11-13;CONSOLE
11;"Alan Maldonado";alan.alan@gmail.com;male;Profissional;2005-05-16;PC
12;"Sandra Rivera";rivera838446@icloud.com;female;Casual;1995-12-08;CONSOLE
13;"Sofia Bezerra";bezerra.2000@hotmail.com;female;Profissional;2006-06-28;PC
14;"Diogo Rocha";diogo.76@hotmail.com;male;Casual;2005-02-16;PC
15;"Gean das Dores";gean_gean@gmail.com;male;Profissional;2010-05-13;PC
16;"Dener de Freitas";dener.77@yahoo.com.br;male;Casual;2010-06-17;PC
17;"Jennifer Godói";godoi.godoi@uol.com.br;female;Casual;2008-07-05;PC
18;"Inácio Uchoa";uchoa_uchoa@yahoo.com.br;male;Casual;1993-11-18;PC
19;"Jéssica Toledo";toledo_jessica@outlook.com;female;Profissional;1994-06-01;MOBILE
20;"Karina Pedrosa";karina.1990@yahoo.com.br;female;Casual;2000-07-08;CONSOLE
21;"Mia Pedrosa";mia_pedrosa@gmail.com;female;Casual;1996-08-15;PC
22;"Anderson Toledo";anderson-toledo@hotmail.com;male;Casual;1992-04-13;MOBILE
23;"Júlia Franco";julia.1992@hotmail.com;female;Profissional;1993-07-22;MOBILE
24;"Sebastião Molina";sebastiao.molina@icloud.com;male;Profissional;2000-11-30;CONSOLE
